"","Sample.Label","step_id","distance","distance_abs","Effort","in_vid","in_angle","Region.Label","Area","N_pop"
"119",2,25,3.53510379708298,3.5767175465631,40,TRUE,TRUE,"Sims",10000,1952
"120",2,25,4.88662830547244,4.93586689131711,40,TRUE,TRUE,"Sims",10000,1952
"121",2,25,3.08500731215288,3.22482260134231,40,TRUE,TRUE,"Sims",10000,1952
"122",2,26,4.4889438898574,4.55457061324429,40,TRUE,TRUE,"Sims",10000,1952
"123",2,27,2.92067047651888,3.03313363496267,40,TRUE,TRUE,"Sims",10000,1952
"124",2,27,3.8299627699505,3.88795077241001,40,TRUE,TRUE,"Sims",10000,1952
"125",2,28,4.64362389562275,4.67482446234977,40,TRUE,TRUE,"Sims",10000,1952
"126",2,28,2.13657061630792,2.16606736219676,40,TRUE,TRUE,"Sims",10000,1952
"127",2,28,1.79230505337223,1.79262224617552,40,TRUE,TRUE,"Sims",10000,1952
"128",2,30,4.08952972793064,4.10160076942364,40,TRUE,TRUE,"Sims",10000,1952
"129",2,30,1.88155586803893,2.09589796690622,40,TRUE,TRUE,"Sims",10000,1952
"130",2,30,1.89420834851242,1.8960017150584,40,TRUE,TRUE,"Sims",10000,1952
"131",2,31,2.10773803790834,2.26031993574229,40,TRUE,TRUE,"Sims",10000,1952
"132",2,31,3.68007855858711,3.7216203054771,40,TRUE,TRUE,"Sims",10000,1952
"133",2,31,4.71945633752975,4.71966445756336,40,TRUE,TRUE,"Sims",10000,1952
"134",2,32,4.68742471359455,4.69625633401742,40,TRUE,TRUE,"Sims",10000,1952
"135",2,32,1.62151590856429,1.67793286973407,40,TRUE,TRUE,"Sims",10000,1952
"136",2,32,4.89316771423507,4.89386222891109,40,TRUE,TRUE,"Sims",10000,1952
"137",2,33,4.38995084107547,4.43193239036544,40,TRUE,TRUE,"Sims",10000,1952
"138",2,33,4.44091792170792,4.53790444585391,40,TRUE,TRUE,"Sims",10000,1952
"139",2,34,4.71917992726886,4.8037768788595,40,TRUE,TRUE,"Sims",10000,1952
"140",2,34,4.22249627738429,4.22261120659226,40,TRUE,TRUE,"Sims",10000,1952
"141",2,38,3.80102874807801,3.85959342643675,40,TRUE,TRUE,"Sims",10000,1952
"142",2,39,4.79180262818911,4.7918892562831,40,TRUE,TRUE,"Sims",10000,1952
"143",2,39,1.41138522158771,1.52246033408474,40,TRUE,TRUE,"Sims",10000,1952
"144",2,39,3.67776722563378,3.70997750841815,40,TRUE,TRUE,"Sims",10000,1952
"145",2,40,1.7385908354673,1.74093379675637,40,TRUE,TRUE,"Sims",10000,1952
"146",3,1,3.24242591504017,3.29862431994015,40,TRUE,TRUE,"Sims",10000,1952
"147",3,2,4.96625839359616,5.00234616106651,40,TRUE,TRUE,"Sims",10000,1952
"148",3,2,4.45052596108126,4.51720153469627,40,TRUE,TRUE,"Sims",10000,1952
"149",3,2,2.98316446701065,2.99599377635338,40,TRUE,TRUE,"Sims",10000,1952
"150",3,2,2.28926437093719,2.43711099923381,40,TRUE,TRUE,"Sims",10000,1952
"151",3,2,1.86537003053988,1.94036238774956,40,TRUE,TRUE,"Sims",10000,1952
"152",3,4,3.68178301722078,3.68194202103112,40,TRUE,TRUE,"Sims",10000,1952
"153",3,5,2.09195661905352,2.19946649112791,40,TRUE,TRUE,"Sims",10000,1952
"154",3,5,4.09017988375167,4.11431104581252,40,TRUE,TRUE,"Sims",10000,1952
"155",3,6,3.52720500331396,3.58820776318153,40,TRUE,TRUE,"Sims",10000,1952
"156",3,8,3.6562138471956,3.65912722577261,40,TRUE,TRUE,"Sims",10000,1952
"157",3,9,1.6883064614938,1.69034118087442,40,TRUE,TRUE,"Sims",10000,1952
"158",3,9,2.09387144237176,2.16770391087942,40,TRUE,TRUE,"Sims",10000,1952
"159",3,10,2.6205535985889,2.67087589633065,40,TRUE,TRUE,"Sims",10000,1952
"160",3,10,4.81556060079929,4.85414306178564,40,TRUE,TRUE,"Sims",10000,1952
"161",3,10,2.93053447540526,2.96371458531073,40,TRUE,TRUE,"Sims",10000,1952
"162",3,11,3.68252848148921,3.68649350623421,40,TRUE,TRUE,"Sims",10000,1952
"163",3,11,2.81571358641062,2.83024790948689,40,TRUE,TRUE,"Sims",10000,1952
"164",3,11,4.10830731425564,4.12534872411498,40,TRUE,TRUE,"Sims",10000,1952
"165",3,12,4.8719791800119,4.88312362039424,40,TRUE,TRUE,"Sims",10000,1952
"166",3,13,3.53572456266119,3.6167950883593,40,TRUE,TRUE,"Sims",10000,1952
"167",3,13,3.52384417694271,3.59367797603873,40,TRUE,TRUE,"Sims",10000,1952
